scopus_id,title,publication_name,issn,isbn,eissn,volume,page_range,cover_date,doi,citation_count,affiliation,aggregation_type,subtype_description,authors,full_text,year
85198121617,Preparation and properties of cationic starch-carrageenan‑sodium alginate hydrogels with pH and temperature sensitivity,Food Chemistry,03088146,,18737072,459,,2024-11-30,10.1016/j.foodchem.2024.140272,0,"[{'name': 'Guangdong Pharmaceutical University', 'city': 'Guangzhou', 'country': 'China'}, {'name': 'Both authors contributed equally to this work.', 'city': None, 'country': None}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0308814624019228,2024
85195505885,Adsorption of azo dyes onto environmentally friendly bacterial cellulose/kappa-carrageenan hydrogel: Isotherm and kinetic studies,Adsorption,09295607,,15728757,30,1315-1331,2024-08-01,10.1007/s10450-024-00486-3,0,"[{'name': 'University of the South Pacific', 'city': 'Suva', 'country': 'Fiji'}]",Journal,Article,[],,2024
85188538995,Multiwalled carbon nanotubes@pectin/κ-carrageenan-based nanocomposite biohydrogel prepared by gamma irradiation for efficient methylene blue dye sequestration,Journal of Applied Polymer Science,00218995,,10974628,141,,2024-06-10,10.1002/app.55452,3,"[{'name': 'National Center for Radiation Research and Technology', 'city': 'Cairo', 'country': 'Egypt'}]",Journal,Article,[],,2024
85192675854,Adsorption and antibacterial studies of a novel hydrogel adsorbent based on ternary eco-polymers doped with sulfonated graphene oxide developed from upcycled plastic waste,Journal of Contaminant Hydrology,01697722,,18736009,264,,2024-05-01,10.1016/j.jconhyd.2024.104362,1,"[{'name': 'Advanced Technology and New Materials Research Institute', 'city': 'New Borg El Arab', 'country': 'Egypt'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0169772224000664,2024
85190067871,κ-Carrageenan/poly(sodium styrenesulfonate-co-acrylic acid) macroporous anionic monoliths: Dye adsorption and oil–water separation properties,Polymers for Advanced Technologies,10427147,,10991581,35,,2024-04-01,10.1002/pat.6375,0,"[{'name': 'Xinjiang University', 'city': 'Urumqi', 'country': 'China'}]",Journal,Article,[],,2024
85188140106,Synergistic adsorption of methylene blue with carrageenan/hydrochar-derived activated carbon hydrogel composites: Insights and optimization strategies,International Journal of Biological Macromolecules,01418130,,18790003,265,,2024-04-01,10.1016/j.ijbiomac.2024.130750,4,"[{'name': 'Jundi Shapur University of Dezful', 'city': 'Dezful', 'country': 'Iran'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S014181302401554X,2024
85181077163,"Low-cost and eco-friendly PVA/carrageenan membrane to efficiently remove cationic dyes from water: Isotherms, kinetics, thermodynamics, and regeneration study",Chemosphere,00456535,,18791298,350,,2024-02-01,10.1016/j.chemosphere.2023.140990,16,"[{'name': 'Jeonbuk National University', 'city': 'Jeonju', 'country': 'South Korea'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0045653523032605,2024
85201409987,pH Sensitive Dual Cross-Linked Anionic and Amphoteric Interpenetrating Network Hydrogels for Adsorptive Removal of Anionic and Cationic Dyes,Asian Journal of Organic Chemistry,,,21935815,,,2024-01-01,10.1002/ajoc.202400238,0,"[{'name': 'Khulna University of Engineering &amp; Technology', 'city': 'Khulna', 'country': 'Saudi Arabia'}]",Journal,Article,[],,2024
85161026286,Novel kappa-carrageenan− poly (vinyl alcohol) − modified pumice hydrogel composite for the adsorption of cationic dye,Egyptian Journal of Chemistry,04492285,,23570245,66,21-35,2023-12-01,10.21608/ejchem.2023.176082.7210,2,"[{'name': 'Faculty of Science', 'city': 'Cairo', 'country': 'Egypt'}]",Journal,Article,[],,2023
85173580654,Grafted natural melanin κ-carrageenan hydrogel bead adsorbents: New strategy for bioremediation of cationic dye contamination in aqueous solutions,Chemical Engineering Research and Design,02638762,,,199,1-10,2023-11-01,10.1016/j.cherd.2023.09.016,4,"[{'name': 'North University of China', 'city': 'Taiyuan', 'country': 'China'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0263876223005804,2023
